predictor,k,rho_clip,res,rho_chunk,share_pred,top1_pred,share_noise,top1_noise,e,e_pred,e_noise,je,je_pred,je_noise,cos_fix,cos_spur,clip,levels,variant
oracle,10,0.4379956141212115,0.5569845935702099,0.30044027423211617,,,0.013090728076751094,0.010545466520984034,0.9103567004203796,0.0,0.9103567004203796,0.18435662984848022,0.0,0.18435662984848022,0.7960638999938965,0.0,0.008512285072356462,12,all
oracle,11,0.43983403412408373,0.5601880608702047,0.2729230466571195,,,0.01616390543410743,0.008079521767984175,0.9528450667858124,0.0,0.9528450667858124,0.19683637470006943,0.0,0.19683637470006943,0.8090075850486755,0.0,0.011578019009903073,12,all
oracle,12,0.4634555563843331,0.5360043696774783,0.25599065534069765,,,0.014023189202028379,0.00859818707469968,1.0597970485687256,0.0,1.0597970485687256,0.2646884322166443,0.0,0.2646884322166443,0.8272194266319275,0.0,0.013762621209025383,12,all
oracle,13,0.38201270199703075,0.6311437394659623,0.23999260955058593,,,0.02036691885943305,0.010296233347217396,1.1015716195106506,0.0,1.1015716195106506,0.23827698826789856,0.0,0.23827698826789856,0.7685907781124115,0.0,0.019196778535842896,12,all
oracle,14,0.31301417738564224,0.6860121686009639,0.225880348123695,,,0.01768135406252295,0.010350622165619572,1.1602665781974792,0.0,1.1602665781974792,0.26778508722782135,0.0,0.26778507232666016,0.7401986718177795,0.0,0.017822605557739735,12,all
oracle,15,0.30330880487176587,0.7378084361942836,0.18867489873210308,,,0.018339086730060412,0.012718812949775763,1.206505537033081,0.0,1.206505537033081,0.24638400226831436,0.0,0.24638400226831436,0.7320077121257782,0.0,0.023384354542940855,12,all
oracle,16,0.3093978442014746,0.6944425449764247,0.30939795724907443,,,0.0151729096077503,0.008983175951396331,1.2865142226219177,0.0,1.2865142226219177,0.3423382639884949,0.0,0.34233829379081726,0.7238291800022125,0.0,0.027866851538419724,12,all
oracle,17,0.39269556264963357,0.6241168922116811,0.2968685806602577,,,0.018985948554175083,0.011841900346782577,1.3554510474205017,0.0,1.3554510474205017,0.3088889569044113,0.0,0.3088889718055725,0.7634792923927307,0.0,0.023096950724720955,12,all
oracle,18,0.3281674445832171,0.7171666792028395,0.2505255277130828,,,0.01720826064534551,0.010847771468582863,1.6302068829536438,0.0,1.6302068829536438,0.3264150321483612,0.0,0.3264150321483612,0.6843356192111969,0.0,0.023324639536440372,12,all
oracle,19,0.24338273102018276,0.755981508477009,0.23408348595611972,,,0.016306413258246007,0.008422039314992101,1.7574912309646606,0.0,1.7574912309646606,0.29817499220371246,0.0,0.29817497730255127,0.6698561310768127,0.0,0.02305918186903,12,all
oracle,20,0.3510187381777584,0.6551164013343607,0.26158686040092693,,,0.022454322741044995,0.015453498346734528,1.6959223747253418,0.0,1.6959223747253418,0.41304533183574677,0.0,0.41304533183574677,0.7080418467521667,0.0,0.02990923449397087,12,all
oracle,21,0.36198071162744416,0.6696057973954674,0.28388605341066475,,,0.01999514997270475,0.014158041856445577,1.8158832788467407,0.0,1.8158832788467407,0.5083786696195602,0.0,0.5083786696195602,0.6831135451793671,0.0,0.041904883459210396,12,all
oracle,22,0.29062673510640946,0.733435740719417,0.250677965903225,,,0.018105347772405196,0.015130658976483255,1.963334858417511,0.0,1.963334858417511,0.5530842244625092,0.0,0.5530842244625092,0.6608703434467316,0.0,0.04284013994038105,12,all
oracle,23,0.2464080377436686,0.7962498866235226,0.2349565670904662,,,0.01730758300856521,0.00953289661889219,2.153231918811798,0.0,2.153231918811798,0.6020207405090332,0.0,0.6020208299160004,0.6607447266578674,0.0,0.04329347796738148,12,all
oracle,24,0.25387142975011284,0.7972983208857485,0.25387140839330274,,,0.01896561764258313,0.011912381484481298,2.322229743003845,0.0,2.322229743003845,0.5756925940513611,0.0,0.5756926238536835,0.617045521736145,0.0,0.047250885516405106,12,all
oracle,25,0.2305673911539084,0.7898459632493404,0.28562327877513427,,,0.01766465195243245,0.014504317682954342,2.4754446148872375,0.0,2.4754446148872375,0.5230259746313095,0.0,0.5230259746313095,0.5859091877937317,0.0,0.039622824639081955,12,all
oracle,26,0.31897598699375457,0.7515360000154642,0.22542549590856342,,,0.018426992695441388,0.014529056598727065,2.605875849723816,0.0,2.605875849723816,0.5451066195964813,0.0,0.5451065897941589,0.5686515271663666,0.0,0.04606717638671398,12,all
oracle,27,0.17679605361692524,0.8317483171029381,0.1624193037774201,,,0.022182372165528135,0.016282145878402154,2.6978771090507507,0.0,2.6978771090507507,0.551959753036499,0.0,0.551959753036499,0.5460912883281708,0.0,0.04217379540205002,12,all
oracle,28,0.27864001114262604,0.7354363995092384,0.24160061445449776,,,0.015276732650613285,0.013314915161721829,3.6215872764587402,0.0,3.6215872764587402,0.5918686389923096,0.0,0.5918686389923096,0.5504635572433472,0.0,0.056997742503881454,11,all
oracle,29,0.2727750392043361,0.7651460222665623,0.11677621066666333,,,0.016506731071306357,0.016506731071306357,3.687021017074585,0.0,3.687021017074585,0.43684902787208557,0.0,0.43684902787208557,0.6215208172798157,0.0,0.033256880939006805,11,all
oracle,30,0.20943832868851303,0.7925453360125814,0.2067455670254682,,,0.02094664692222232,0.010404219863102197,3.1790465116500854,0.0,3.1790465116500854,0.55680713057518,0.0,0.5568071007728577,0.5407609939575195,0.0,0.04390720650553703,10,all
oracle,31,0.2014461359699078,0.8856730612568289,0.09352057390462526,,,0.01579987139556635,0.00791307957555867,3.357536554336548,0.0,3.357536554336548,0.6953800320625305,0.0,0.6953800320625305,0.6003042161464691,0.0,0.06427299603819847,10,all
phys0.1,1,0.6529743534228905,0.3470256465771095,0.11004319797605605,0.013411105298150261,0.009527125230435772,0.011637665022108045,0.010673288572161942,0.32628151774406433,0.22645749896764755,0.17869842052459717,0.042597243562340736,0.027784216217696667,0.024905786849558353,0.9339830577373505,0.03640670236200094,0.0004960317746736109,12,all
phys0.1,2,0.6749155969834333,0.37937031768030793,0.062146364897329054,0.009388314382875533,0.006938389425843076,0.013372163401674138,0.01037731116119698,0.5062068700790405,0.39606669545173645,0.30438540130853653,0.07278167642652988,0.04077896103262901,0.05084890499711037,0.8922613859176636,0.033995525911450386,0.002540650311857462,12,all
phys0.1,3,0.43751166207658376,0.5624883379234162,0.11048065287995323,0.011282869882655176,0.007865764006540637,0.014844688975110747,0.010111223178251031,0.6594207882881165,0.5362186133861542,0.3936905860900879,0.10088453814387321,0.07523016259074211,0.06542567163705826,0.8520072102546692,0.005695729050785303,0.002283385838381946,12,all
phys0.1,4,0.5492805140673186,0.4524250373402615,0.04042546363265048,0.015631219308772384,0.00794941547618936,0.015671913125989506,0.010681761685073687,0.7924681305885315,0.640176385641098,0.48461757600307465,0.1380506530404091,0.09440304338932037,0.0784163661301136,0.8631351888179779,0.048776935786008835,0.004620545078068972,12,all
