level,sigma,k,n,chunk,pred,lin,lin_clip,chunk_lin,floor,dev,rho,rho_clip,rho_total,rel
worlds/l/catapult.json,0.1,1,1024,0.0495891235768795,0.0006305378046818078,8.240333409048617e-05,8.240333409048617e-05,0.04881663620471954,0.05185466632246971,0.0509311780333519,0.8693126193566302,0.8693126193566302,0.9983382780709417,0.012715243972889865
worlds/l/catapult.json,0.1,2,1016,0.047696977853775024,0.012865467928349972,0.007467341609299183,0.004110313951969147,0.046100325882434845,0.04987071454524994,0.06930426508188248,0.4195825872104997,0.6805157826469896,0.8434420387767152,0.26973339836732907
worlds/l/catapult.json,0.1,3,1012,0.10904969274997711,0.011565773747861385,0.0040234895423054695,0.0040234895423054695,0.09048686921596527,0.10602688789367676,0.07419838011264801,0.6521210227677635,0.6521210227677635,0.9631040726402568,0.10605966377529122
worlds/l/catapult.json,0.1,4,1000,0.07522614300251007,0.006548744160681963,0.007425080519169569,0.0069815777242183685,0.07791449129581451,0.07754165679216385,0.08315955847501755,-0.1338174674388788,-0.06609413238878648,0.9012965410319944,0.08705409980229148
worlds/l/catapult.json,0.1,5,992,0.09034793823957443,0.020167650654911995,0.012792431749403477,0.011667020618915558,0.08495534956455231,0.08170901238918304,0.10847780853509903,0.3656954908484704,0.4214982786766013,0.8584092564959042,0.22322203525479134
worlds/l/catapult.json,0.1,6,988,0.14584457874298096,0.015142261981964111,0.011609287932515144,0.01007602084428072,0.13267704844474792,0.14484353363513947,0.11975116282701492,0.23331877718514438,0.3345762438741168,0.9203995922743624,0.10382464752871633
worlds/l/catapult.json,0.1,7,988,0.15248271822929382,0.03592207655310631,0.023739013820886612,0.021654454991221428,0.13795174658298492,0.16352945566177368,0.12883606553077698,0.33915251848563255,0.39718253873191267,0.8443166930878725,0.23558129714797563
worlds/l/catapult.json,0.2,1,1024,0.049233268946409225,0.01620408706367016,0.008801924996078014,0.009192931465804577,0.045710109174251556,0.05185466632246971,0.08855882287025452,0.4568083372119074,0.4326782231122859,0.8212199761576064,0.3291288068096479
worlds/l/catapult.json,0.2,2,1016,0.05738246440887451,0.026253970339894295,0.009695877321064472,0.00987131055444479,0.04694800823926926,0.04987071454524994,0.10264348238706589,0.6306891035703246,0.6240069434585742,0.8310306568226625,0.457526016185425
worlds/l/catapult.json,0.2,3,1012,0.11737935245037079,0.04705560952425003,0.03128352016210556,0.03132251650094986,0.1064533218741417,0.10602688789367676,0.14267967641353607,0.33517979092410544,0.3343510621234679,0.7334836194863781,0.4008848962098818
worlds/l/catapult.json,0.2,4,1000,0.07976941764354706,0.01746332086622715,0.012805082835257053,0.012805082835257053,0.07565140724182129,0.07754165679216385,0.1642284095287323,0.26674411279808785,0.26674411279808785,0.8394737831423429,0.21892250667119975
worlds/l/catapult.json,0.2,5,992,0.10293512046337128,0.05415504053235054,0.04171009361743927,0.039371222257614136,0.09703413397073746,0.08170901238918304,0.1981005072593689,0.22980219001917368,0.2729906233918339,0.5947923951545624,0.5261084874488607
worlds/l/catapult.json,0.2,6,988,0.14059485495090485,0.05252485349774361,0.03644046559929848,0.0362389013171196,0.12062098830938339,0.14484353363513947,0.22093428671360016,0.3062243267206084,0.3100618297074095,0.7408122394519818,0.37359015389350536
worlds/l/catapult.json,0.2,7,988,0.17178474366664886,0.09009898453950882,0.06943149119615555,0.06844951957464218,0.15391972661018372,0.16352945566177368,0.23847712576389313,0.22938652914884383,0.2402853381257949,0.595822715602216,0.5244876967325305
worlds/l/catapult.json,0.4,1,1024,0.06245684251189232,0.07334195077419281,0.05690975487232208,0.0574977733194828,0.05891607329249382,0.05185466632246971,0.19641351699829102,0.22404907053076106,0.2160315793002492,0.08881473056397338,1.1742820774237486
worlds/l/catapult.json,0.4,2,1016,0.09297250211238861,0.08288023620843887,0.05977153778076172,0.054127324372529984,0.0847376137971878,0.04987071454524994,0.24695587158203125,0.2788203736480691,0.3469212100650513,0.35710520398270373,0.8914489158122276
worlds/l/catapult.json,0.4,3,1012,0.1729847639799118,0.13903295993804932,0.09952900558710098,0.10003984719514847,0.15406160056591034,0.10602688789367676,0.30981844663619995,0.2841337361194829,0.28045948788169006,0.4246371570697465,0.80372951200601
worlds/l/catapult.json,0.4,4,1000,0.1494590789079666,0.10024241358041763,0.09728924930095673,0.09676513820886612,0.13809271156787872,0.07754165679216385,0.33769068121910095,0.029460227203046974,0.03468866368388002,0.34905761488825204,0.6707014007636468
worlds/l/catapult.json,0.4,5,992,0.17574961483478546,0.16261790692806244,0.13300785422325134,0.13031789660453796,0.15776345133781433,0.08170901238918304,0.37759071588516235,0.18208359254008688,0.1986251756260341,0.24319689492186813,0.9252817258287163
worlds/l/catapult.json,0.4,6,988,0.16730499267578125,0.10766412317752838,0.09551434218883514,0.09275683760643005,0.15431876480579376,0.14484353363513947,0.4011901915073395,0.11284892896642418,0.1384610316894288,0.42910046699005877,0.6435200854177117
worlds/l/catapult.json,0.4,7,988,0.1836947798728943,0.15482193231582642,0.1154836118221283,0.11277039349079132,0.16383321583271027,0.16352945566177368,0.4188289940357208,0.2540875178682731,0.27161228513317326,0.3713288319785898,0.842821621947852
worlds/l/cartpole_thrust.json,0.05,1,1004,0.006495569832623005,0.0005171019001863897,7.684498268645257e-05,7.684498268645257e-05,0.005793983582407236,0.006184201221913099,0.02373235858976841,0.851392960152044,0.851392960152044,0.9881696318157477,0.07960839672438352
worlds/l/cartpole_thrust.json,0.05,2,992,0.008774551562964916,0.0016145838890224695,0.0010340664302930236,0.0010340664302930236,0.0078091854229569435,0.0074438005685806274,0.03314322978258133,0.35954617327496885,0.35954617327496885,0.8821516492469488,0.18400756750204822
worlds/l/cartpole_thrust.json,0.05,3,976,0.009148134849965572,0.002024721819907427,0.00020177624537609518,0.00020177624537609518,0.008530947379767895,0.008605757728219032,0.04095529392361641,0.900343719620051,0.900343719620051,0.9779434552851115,0.22132618868370163
