level,predictor,k,err,ratio
worlds/l/mjc_walker.json,oracle,2,0.0,0.0
worlds/l/mjc_walker.json,oracle,3,0.0,0.0
worlds/l/mjc_walker.json,oracle,4,0.0,0.0
worlds/l/mjc_walker.json,oracle,5,0.0,0.0
worlds/l/mjc_walker.json,oracle,6,0.0,0.0
worlds/l/mjc_walker.json,oracle,7,0.0,0.0
worlds/l/mjc_walker.json,phys0.1,1,0.4352761507034302,1.9373053717238415
worlds/l/mjc_walker.json,phys0.1,2,0.883845865726471,1.7195446900372564
worlds/l/mjc_walker.json,phys0.1,3,1.3529410362243652,1.4759752806186113
worlds/l/mjc_walker.json,phys0.1,4,1.8037641048431396,1.37617071968639
worlds/l/mjc_walker.json,phys0.1,5,2.1264867782592773,1.2799698517673626
worlds/l/mjc_walker.json,phys0.1,6,2.475889205932617,1.2890728122303021
worlds/l/mjc_walker.json,phys0.1,7,2.7169766426086426,1.2431572399742463
worlds/l/mjc_walker.json,phys0.2,1,0.8432314395904541,3.753012414957798
worlds/l/mjc_walker.json,phys0.2,2,1.630425214767456,3.1720338684300367
worlds/l/mjc_walker.json,phys0.2,3,2.138537883758545,2.33301302021458
worlds/l/mjc_walker.json,phys0.2,4,2.6575446128845215,2.027557302361344
worlds/l/mjc_walker.json,phys0.2,5,3.1326255798339844,1.885582520454244
worlds/l/mjc_walker.json,phys0.2,6,3.6093099117279053,1.879188804964813
worlds/l/mjc_walker.json,phys0.2,7,3.8188533782958984,1.7473227966621439
worlds/l/mjc_walker.json,phys0.3,1,1.1986021995544434,5.334678860774386
worlds/l/mjc_walker.json,phys0.3,2,2.2575716972351074,4.392163356637129
worlds/l/mjc_walker.json,phys0.3,3,2.8668200969696045,3.1275240264100312
worlds/l/mjc_walker.json,phys0.3,4,3.4966039657592773,2.667712470326428
worlds/l/mjc_walker.json,phys0.3,5,3.964050531387329,2.3860318450752818
worlds/l/mjc_walker.json,phys0.3,6,4.483395576477051,2.3342818936573444
worlds/l/mjc_walker.json,phys0.3,7,4.579812049865723,2.0955007187862518
worlds/l/h17_unicycle.json,hold,1,3.0308730602264404,16.731059087411648
worlds/l/h17_unicycle.json,hold,2,3.220176935195923,13.899533672964417
worlds/l/h17_unicycle.json,hold,3,3.0463223457336426,11.496360825444912
worlds/l/h17_unicycle.json,hold,4,3.2145028114318848,10.571650470516238
worlds/l/h17_unicycle.json,hold,5,3.3838984966278076,10.204934183918335
worlds/l/h17_unicycle.json,hold,6,3.709562301635742,9.740674101592287
worlds/l/h17_unicycle.json,hold,7,4.215363502502441,10.626674352949909
worlds/l/h17_unicycle.json,learned,1,0.23314782977104187,1.2870252361244254
worlds/l/h17_unicycle.json,learned,2,0.5812315940856934,2.5088211847878927
worlds/l/h17_unicycle.json,learned,3,0.8292738199234009,3.1295542542588253
worlds/l/h17_unicycle.json,learned,4,0.8793374300003052,2.8919084850525874
worlds/l/h17_unicycle.json,learned,5,1.0072952508926392,3.037733474977666
worlds/l/h17_unicycle.json,learned,6,1.2517642974853516,3.286918262145611
worlds/l/h17_unicycle.json,learned,7,1.674957513809204,4.222465759764381
worlds/l/h17_unicycle.json,noise,1,0.18115249276161194,1.0
worlds/l/h17_unicycle.json,noise,2,0.2316751778125763,1.0
worlds/l/h17_unicycle.json,noise,3,0.2649814486503601,1.0
worlds/l/h17_unicycle.json,noise,4,0.3040682077407837,1.0
worlds/l/h17_unicycle.json,noise,5,0.3315943479537964,1.0
worlds/l/h17_unicycle.json,noise,6,0.3808321952819824,1.0
worlds/l/h17_unicycle.json,noise,7,0.39667758345603943,1.0
worlds/l/h17_unicycle.json,oracle,1,0.0,0.0
worlds/l/h17_unicycle.json,oracle,2,0.0,0.0
worlds/l/h17_unicycle.json,oracle,3,0.0,0.0
worlds/l/h17_unicycle.json,oracle,4,0.0,0.0
