what,where,mean,lo,hi,cells
G pred:learned,slice d1,-9.595630787037038,-12.449363425925927,-6.821198640046301,36
G pred:oracle,slice d1,-6.568287037037039,-10.239529079861112,-2.875162760416671,36
G pred:phys0.1,slice d1,-10.590277777777777,-14.297598379629628,-6.868399160879631,36
G pred:phys0.2,slice d1,-17.078993055555554,-20.992476851851848,-13.172652633101853,36
G pred:phys0.3,slice d1,-23.29644097222222,-27.636718750000007,-19.006618923611114,36
G reflex:learned,slice d1,-0.770399305555555,-3.8302951388888875,2.2280996817129606,36
G reflex:oracle,slice d1,-0.05063657407407443,-3.3166956018518525,3.2805266203703694,36
G reflex:phys0.1,slice d1,-1.4503761574074077,-4.9950267650462985,1.9315140335648129,36
G reflex:phys0.2,slice d1,-4.437934027777778,-8.188747829861112,-0.871672453703704,36
G reflex:phys0.3,slice d1,-8.246527777777779,-12.666648582175924,-4.358271846064816,36
G rtc_reflex:learned,slice d1,2.915219907407408,1.5769675925925926,4.361979166666666,36
G rtc_reflex:oracle,slice d1,1.197193287037036,0.41223596643518406,2.025462962962963,36
G rtc_reflex:phys0.2,slice d1,-0.07957175925925951,-1.432291666666667,1.2405960648148142,36
J learned,slice d1,8.825231481481483,6.528501157407411,11.295572916666668,36
J oracle,slice d1,6.517650462962962,4.7923900462962985,8.214066116898147,36
J phys0.1,slice d1,9.139901620370368,6.908185040509257,11.338975694444443,36
J phys0.2,slice d1,12.641059027777779,10.242874710648147,14.919795283564813,36
J phys0.3,slice d1,15.049913194444445,11.79832175925926,18.316153067129626,36
pred: learned - oracle,slice d1,-3.02734375,-4.839409722222222,-1.3056098090277792,36
reflex: learned - oracle,slice d1,-0.7197627314814805,-1.591525607638889,0.1663773148148165,36
rtc_reflex: learned - oracle,slice d1,1.718026620370371,0.8679651331018522,2.604166666666667,36
G pred:learned,slice d3,0.043402777777777776,-3.7109375,4.00390625,36
G pred:oracle,slice d3,3.61328125,-0.7272677951388887,8.051215277777777,36
G pred:phys0.2,slice d3,-9.516059027777777,-14.073350694444445,-5.3165690104166705,36
G reflex:learned,slice d3,7.725694444444445,3.22265625,12.565104166666666,36
G reflex:oracle,slice d3,9.266493055555555,4.058159722222222,14.583604600694441,36
G reflex:phys0.2,slice d3,3.3094618055555554,-1.931694878472222,8.550347222222223,36
G rtc_reflex:learned,slice d3,6.141493055555555,3.0815972222222223,9.526909722222223,36
G rtc_reflex:oracle,slice d3,3.7543402777777777,1.2478298611111112,6.543240017361107,36
G rtc_reflex:phys0.2,slice d3,0.4014756944444444,-3.146701388888889,4.123263888888888,36
J learned,slice d3,7.682291666666667,4.709201388888888,10.894097222222223,36
J oracle,slice d3,5.653211805555555,3.5590277777777777,7.866753472222222,36
J phys0.2,slice d3,12.825520833333334,9.483506944444445,16.13498263888889,36
pred: learned - oracle,slice d3,-3.5698784722222223,-6.521267361111111,-0.8680555555555556,36
reflex: learned - oracle,slice d3,-1.5407986111111112,-3.5481770833333335,0.18446180555555555,36
rtc_reflex: learned - oracle,slice d3,2.3871527777777777,0.9874131944444444,3.90625,36
